Date,Open,High,Low,Close,Volume
2020-01-07 03,134.8000030517578,135.16000366210938,134.6699981689453,134.8300018310547,2647018
2020-01-07 02,134.1199951171875,135.08999633789062,134.02499389648438,134.8000030517578,2874482
2020-01-07 01,135.00999450683594,135.49000549316406,134.09249877929688,134.11500549316406,2431054
2020-01-07 12,135.3350067138672,135.74000549316406,134.8000030517578,135.0,2209975
2020-01-07 11,134.11000061035156,135.8699951171875,133.8800048828125,135.372802734375,5384608
2020-01-07 10,134.6300048828125,135.0399932861328,133.5,134.05499267578125,7372125
2020-01-07 09,136.5500030517578,137.44000244140625,134.50999450683594,134.6300048828125,10219046
2020-01-06 03,138.66000366210938,138.77499389648438,137.88229370117188,138.50999450683594,4078496
2020-01-06 02,138.47000122070312,139.12989807128906,138.41000366210938,138.80499267578125,2776804
2020-01-06 01,138.83999633789062,139.01449584960938,138.27999877929688,138.46499633789062,3106082
2020-01-06 12,139.25039672851562,139.47720336914062,138.72000122070312,138.85000610351562,3240544
2020-01-06 11,138.47999572753906,139.77999877929688,138.1199951171875,139.24940490722656,4361126
2020-01-06 10,136.85000610351562,139.17999267578125,136.85000610351562,138.47000122070312,7616416
2020-01-06 09,135.50999450683594,136.9499969482422,135.22000122070312,136.85000610351562,10277769
2020-01-03 03,137.02000427246094,137.07620239257812,136.0399932861328,136.0800018310547,4920784
2020-01-03 02,137.19000244140625,137.39999389648438,136.11000061035156,137.02000427246094,4069604
2020-01-03 01,137.0800018310547,137.6591033935547,136.89010620117188,137.19000244140625,2422543
2020-01-03 12,137.02999877929688,137.82000732421875,136.75999450683594,137.07240295410156,4909018
2020-01-03 11,136.3800048828125,137.2100067138672,135.91700744628906,137.02000427246094,5323760
2020-01-03 10,137.4810028076172,137.52499389648438,135.1201934814453,136.38999938964844,11774917
2020-01-03 09,138.75,140.22999572753906,137.09100341796875,137.4949951171875,17888068
2020-01-02 03,141.66000366210938,142.24000549316406,141.47999572753906,141.88999938964844,3736987
2020-01-02 02,141.91000366210938,142.0399932861328,141.22000122070312,141.6699981689453,4474813
2020-01-02 01,142.44500732421875,142.5800018310547,141.7100067138672,141.90020751953125,2938930
2020-01-02 12,142.89999389648438,143.12860107421875,142.27000427246094,142.44500732421875,2913702
2020-01-02 11,142.4499053955078,143.85499572753906,142.33999633789062,142.92300415039062,4512744
2020-01-02 10,142.9949951171875,143.30799865722656,142.10000610351562,142.44970703125,4794587
2020-01-02 09,144.0,144.10000610351562,141.00999450683594,143.00970458984375,15061879
